IID	POP	SUPOP	Countryoforigin
GA001801	GUJ	SAS	Pakistan
GA001802	GUJ	SAS	Pakistan
GA001803	GUJ	SAS	Pakistan
GA001804	GUJ	SAS	Pakistan
GA001805	GUJ	SAS	Pakistan
GA001806	GUJ	SAS	Pakistan
GA001807	GUJ	SAS	Pakistan
GA001808	GUJ	SAS	Pakistan
GA001809	GUJ	SAS	Pakistan
GA001810	GUJ	SAS	Pakistan
GA001811	GUJ	SAS	Pakistan
GA001812	RAJ	SAS	Pakistan
GA001813	RAJ	SAS	Pakistan
GA001814	RAJ	SAS	Pakistan
GA001815	RAJ	SAS	Pakistan
GA001816	RAJ	SAS	Pakistan
GA001817	RAJ	SAS	Pakistan
GA001818	RAJ	SAS	Pakistan
GA001819	RAJ	SAS	Pakistan
GA001820	RAJ	SAS	Pakistan
GA001821	RAJ	SAS	Pakistan
GA001822	RAJ	SAS	Pakistan
GA001823	RAJ	SAS	Pakistan
GA001824	RAJ	SAS	Pakistan
GA001825	RAJ	SAS	Pakistan
GA001826	BRA	SAS	Pakistan
GA001827	BRA	SAS	Pakistan
GA001828	BRA	SAS	Pakistan
GA001829	BRA	SAS	Pakistan
GA001830	BRA	SAS	Pakistan
GA001831	BRA	SAS	Pakistan
GA001832	BRA	SAS	Pakistan
GA001834	BRA	SAS	Pakistan
GA001835	BRA	SAS	Pakistan
GA001836	SND	SAS	Pakistan
GA001837	BRU	SAS	Pakistan
GA001838	BRU	SAS	Pakistan
GA001839	BRU	SAS	Pakistan
GA001841	PAT	SAS	Pakistan
GA001842	PAT	SAS	Pakistan
GA001843	PAT	SAS	Pakistan
GA001844	PAT	SAS	Pakistan
GA001845	PAT	SAS	Pakistan
GA001846	PAT	SAS	Pakistan
GA001847	PAT	SAS	Pakistan
GA001848	PAT	SAS	Pakistan
GA001849	PAT	SAS	Pakistan
GA001850	PAT	SAS	Pakistan
GA001851	PAT	SAS	Pakistan
GA001852	PAT	SAS	Pakistan
GA001853	PAT	SAS	Pakistan
GA001854	PAT	SAS	Pakistan
GA001855	PAT	SAS	Pakistan
GA001856	SND	SAS	Pakistan
GA001857	SND	SAS	Pakistan
GA001858	SND	SAS	Pakistan
GA001859	SND	SAS	Pakistan
GA001860	SND	SAS	Pakistan
GA001861	SND	SAS	Pakistan
GA001862	SND	SAS	Pakistan
GA001863	SND	SAS	Pakistan
GA001864	SND	SAS	Pakistan
GA001865	BRU	SAS	Pakistan
GA001866	BRU	SAS	Pakistan
GA001867	BRU	SAS	Pakistan
GA001869	BRU	SAS	Pakistan
GA001871	BRU	SAS	Pakistan
GA001872	PAR	SAS	Pakistan
GA001873	HAZ	SAS	Pakistan
GA001874	HAZ	SAS	Pakistan
GA001875	HAZ	SAS	Pakistan
GA001876	HAZ	SAS	Pakistan
GA001877	HAZ	SAS	Pakistan
GA001878	HAZ	SAS	Pakistan
GA001880	HAZ	SAS	Pakistan
GA001881	HAZ	SAS	Pakistan
GA001882	HAZ	SAS	Pakistan
GA001883	HAZ	SAS	Pakistan
GA001884	HAZ	SAS	Pakistan
GA001885	HAZ	SAS	Pakistan
GA001886	HAZ	SAS	Pakistan
GA001887	HAZ	SAS	Pakistan
GA001888	HAZ	SAS	Pakistan
GA001890	NIC	SAS	India
GA001891	NIC	SAS	India
GA001892	NIC	SAS	India
GA001893	NIC	SAS	India
GA001894	NIC	SAS	India
GA001895	NIC	SAS	India

